NIM;KDMK_JUR;KDMK_PUS;NILAI;BOBOT;NM_MKULIAH;SKS;PRESTASI;SMT
17.E1.0192;PBK101;40124380;BC;2,5;ENGLISH FOR PSYCHOLOGY 1;2;5;
17.E1.0192;PBK102;40124381;BC;2,5;PSIKOLOGI DASAR;4;10;
17.E1.0192;PBK103;40124382;BC;2,5;PSIKOLOGI KESEHATAN;2;5;
17.E1.0192;PBK104A;40144934;B;3;PSIKOLOGI SOSIAL;3;9;
17.E1.0192;PBK105;40124384;B;3;PERKEMBANGAN MANUSIA;3;9;
17.E1.0192;PBK106;40124385;BC;2,5;BIOPSIKOLOGI;2;5;
17.E1.0192;PBK107;40124386;AB;3,5;PSIKOLOGI KLINIS DASAR;2;7;
17.E1.0192;PBK201;40124387;B;3;ENGLISH FOR PSYCHOLOGY 2;2;6;
17.E1.0192;PBK202A;40144935;B;3;TES PSIKOLOGI 1;3;9;
17.E1.0192;PBK202B;40144936;B;3;TES PSIKOLOGI 2;3;9;
17.E1.0192;PBK203A;40144937;BC;2,5;PSIKOLOGI PENDIDIKAN;3;7,5;
17.E1.0192;PBK203B;40144938;AB;3,5;PSIKOLOGI BELAJAR;2;7;
17.E1.0192;PBK204;40124390;B;3;PENULISAN ILMIAH;2;6;
17.E1.0192;PBK205;40124391;B;3;ETIKA PSIKOLOGI;2;6;
17.E1.0192;PBK206A;40155147;BC;2,5;ASESMEN;2;5;
17.E1.0192;PBK301;40124393;AB;3,5;EVALUASI PEMBELAJARAN;4;14;
17.E1.0192;PBK302;40124394;A;4;DASAR KONSELING;4;16;
17.E1.0192;PBK303A;40144939;B;3;TEORI MODIFIKASI PERILAKU;3;9;
17.E1.0192;PBK303B;40144940;B;3;MODIFIKASI PERILAKU TERAPAN;3;9;
17.E1.0192;PBK304A;40144941;B;3;METODE PENGUMPULAN DATA KUANTITATIF;3;9;
17.E1.0192;PBK304B;40144942;A;4;METODE PENGUMPULAN DATA KUALITATIF;3;12;
17.E1.0192;PBK401A;40144943;AB;3,5;PSIKOLOGI ANAK BERKEBUTUHAN KHUSUS 1;3;10,5;
17.E1.0192;PBK401B;40144944;B;3;PSIKOLOGI ANAK BERKEBUTUHAN KHUSUS 2;3;9;
17.E1.0192;PBK402A;40144945;BC;2,5;PSIKOLOGI ORANG SAKIT;2;5;
17.E1.0192;PBK402B;40144946;AB;3,5;PENDAMPINGAN ORANG SAKIT;3;10,5;
17.E1.0192;PBK403A;40144947;B;3;METODOLOGI PENELITIAN KUANTITATIF;4;12;
17.E1.0192;PBK403B;40144948;B;3;STATISTIKA;4;12;
17.E1.0192;PBK404;40134504;AB;3,5;METODOLOGI PENELITIAN KUALITATIF;2;7;
17.E1.0192;PBK501A;40144949;A;4;PSIKOLOGI ABNORMAL;3;12;
17.E1.0192;PBK501B;40144950;AB;3,5;DETEKSI DINI GANGGUAN PSIKOLOGIS;5;17,5;
17.E1.0192;PBK502A;40144951;A;4;PSIKOLOGI KELOMPOK;2;8;
17.E1.0192;PBK502B;40144952;AB;3,5;DINAMIKA KELOMPOK;4;14;
17.E1.0192;PBK503A;40144953;AB;3,5;TEORI RANCANGAN PELATIHAN;2;7;
17.E1.0192;PBK503B;40144954;B;3;PRAKTEK RANCANGAN PELATIHAN;4;12;
17.E1.0192;PBK601A;40144955;BC;2,5;TEORI KEPRIBADIAN;3;7,5;
17.E1.0192;PBK601B;40144956;AB;3,5;TEKNIK PENGEMBANGAN PRIBADI;4;14;
17.E1.0192;PBK602A;40144957;B;3;SEKSUALITAS MANUSIA;3;9;
17.E1.0192;PBK602B;40144958;A;4;PSIKOLOGI KESEHATAN REPRODUKSI;2;8;
17.E1.0192;PBK603A;40144959;AB;3,5;PSIKOLOGI PERDAMAIAN;2;7;
17.E1.0192;PBK603B;40144960;A;4;INTERVENSI TRAUMA;3;12;
17.E1.0192;PBK603C;40144961;B;3;TRANSFORMASI KONFLIK;3;9;
17.E1.0192;PBK701A;40144962;AB;3,5;TEORI PEMBERDAYAAN MASYARAKAT;2;7;
17.E1.0192;PBK701B;40144963;B;3;PEMBERDAYAAN MASYARAKAT;3;9;
17.E1.0192;PBK702A;40144964;AB;3,5;TEORI DAN KONSEP SUMBER DAYA MANUSIA;3;10,5;
17.E1.0192;PBK702B;40144965;AB;3,5;PRAKTEK PENGEMBANGAN SUMBER DAYA MANUSIA 1;2;7;
17.E1.0192;PBK702C;40144966;B;3;PRAKTEK PENGEMBANGAN SUMBER DAYA MANUSIA 2;3;9;
17.E1.0192;PBK703;40124408;AB;3,5;SKRIPSI;5;17,5;
17.E1.0192;PBK705;40185265;AB;3,5;ADIKSI DALAM TINJAUAN PSIKOLOGI;2;7;
17.E1.0192;PBK706;40185266;B;3;PSIKOLOGI KELUARGA;2;6;
17.E1.0192;UKS101;40032231;B;3;RELIGIOSITAS;2;6;
17.E1.0192;UKS102;40990172;AB;3,5;PANCASILA;2;7;
17.E1.0192;UKS103;40990154;A;4;KEWARGANEGARAAN;2;8;
17.E1.0192;UKS410;40990183;A;4;KULIAH KERJA NYATA;2;8;
17.E1.0158;PBK101;40124380;C;2;ENGLISH FOR PSYCHOLOGY 1;2;4;
17.E1.0158;PBK102;40124381;B;3;PSIKOLOGI DASAR;4;12;
17.E1.0158;PBK103;40124382;AB;3,5;PSIKOLOGI KESEHATAN;2;7;
17.E1.0158;PBK104A;40144934;A;4;PSIKOLOGI SOSIAL;3;12;
17.E1.0158;PBK105;40124384;B;3;PERKEMBANGAN MANUSIA;3;9;
17.E1.0158;PBK106;40124385;B;3;BIOPSIKOLOGI;2;6;
17.E1.0158;PBK107;40124386;BC;2,5;PSIKOLOGI KLINIS DASAR;2;5;
17.E1.0158;PBK201;40124387;BC;2,5;ENGLISH FOR PSYCHOLOGY 2;2;5;
17.E1.0158;PBK202A;40144935;A;4;TES PSIKOLOGI 1;3;12;
17.E1.0158;PBK202B;40144936;AB;3,5;TES PSIKOLOGI 2;3;10,5;
17.E1.0158;PBK203A;40144937;A;4;PSIKOLOGI PENDIDIKAN;3;12;
17.E1.0158;PBK203B;40144938;B;3;PSIKOLOGI BELAJAR;2;6;
17.E1.0158;PBK204;40124390;BC;2,5;PENULISAN ILMIAH;2;5;
17.E1.0158;PBK205;40124391;AB;3,5;ETIKA PSIKOLOGI;2;7;
17.E1.0158;PBK206A;40155147;AB;3,5;ASESMEN;2;7;
17.E1.0158;PBK301;40124393;AB;3,5;EVALUASI PEMBELAJARAN;4;14;
17.E1.0158;PBK302;40124394;A;4;DASAR KONSELING;4;16;
17.E1.0158;PBK303A;40144939;B;3;TEORI MODIFIKASI PERILAKU;3;9;
17.E1.0158;PBK303B;40144940;AB;3,5;MODIFIKASI PERILAKU TERAPAN;3;10,5;
17.E1.0158;PBK304A;40144941;AB;3,5;METODE PENGUMPULAN DATA KUANTITATIF;3;10,5;
17.E1.0158;PBK304B;40144942;CD;1,5;METODE PENGUMPULAN DATA KUALITATIF;3;4,5;
17.E1.0158;PBK401A;40144943;A;4;PSIKOLOGI ANAK BERKEBUTUHAN KHUSUS 1;3;12;
17.E1.0158;PBK401B;40144944;C;2;PSIKOLOGI ANAK BERKEBUTUHAN KHUSUS 2;3;6;
17.E1.0158;PBK402A;40144945;BC;2,5;PSIKOLOGI ORANG SAKIT;2;5;
17.E1.0158;PBK402B;40144946;A;4;PENDAMPINGAN ORANG SAKIT;3;12;
17.E1.0158;PBK403A;40144947;AB;3,5;METODOLOGI PENELITIAN KUANTITATIF;4;14;
17.E1.0158;PBK403B;40144948;BC;2,5;STATISTIKA;4;10;
17.E1.0158;PBK404;40134504;C;2;METODOLOGI PENELITIAN KUALITATIF;2;4;
17.E1.0158;PBK501A;40144949;AB;3,5;PSIKOLOGI ABNORMAL;3;10,5;
17.E1.0158;PBK501B;40144950;B;3;DETEKSI DINI GANGGUAN PSIKOLOGIS;5;15;
17.E1.0158;PBK502A;40144951;A;4;PSIKOLOGI KELOMPOK;2;8;
17.E1.0158;PBK502B;40144952;A;4;DINAMIKA KELOMPOK;4;16;
17.E1.0158;PBK503A;40144953;AB;3,5;TEORI RANCANGAN PELATIHAN;2;7;
17.E1.0158;PBK503B;40144954;A;4;PRAKTEK RANCANGAN PELATIHAN;4;16;
17.E1.0158;PBK601A;40144955;AB;3,5;TEORI KEPRIBADIAN;3;10,5;
17.E1.0158;PBK601B;40144956;B;3;TEKNIK PENGEMBANGAN PRIBADI;4;12;
17.E1.0158;PBK602A;40144957;A;4;SEKSUALITAS MANUSIA;3;12;
17.E1.0158;PBK602B;40144958;AB;3,5;PSIKOLOGI KESEHATAN REPRODUKSI;2;7;
17.E1.0158;PBK603A;40144959;B;3;PSIKOLOGI PERDAMAIAN;2;6;
17.E1.0158;PBK603B;40144960;A;4;INTERVENSI TRAUMA;3;12;
17.E1.0158;PBK603C;40144961;B;3;TRANSFORMASI KONFLIK;3;9;
17.E1.0158;PBK701A;40144962;AB;3,5;TEORI PEMBERDAYAAN MASYARAKAT;2;7;
17.E1.0158;PBK701B;40144963;A;4;PEMBERDAYAAN MASYARAKAT;3;12;
17.E1.0158;PBK702A;40144964;BC;2,5;TEORI DAN KONSEP SUMBER DAYA MANUSIA;3;7,5;
17.E1.0158;PBK702B;40144965;AB;3,5;PRAKTEK PENGEMBANGAN SUMBER DAYA MANUSIA 1;2;7;
17.E1.0158;PBK702C;40144966;AB;3,5;PRAKTEK PENGEMBANGAN SUMBER DAYA MANUSIA 2;3;10,5;
17.E1.0158;PBK703;40124408;B;3;SKRIPSI;5;15;
17.E1.0158;PBK706;40185266;B;3;PSIKOLOGI KELUARGA;2;6;
17.E1.0158;PBK711;40185271;BC;2,5;ETNOPSIKOLOGI;2;5;
17.E1.0158;UKS101;40032231;B;3;RELIGIOSITAS;2;6;
17.E1.0158;UKS102;40990172;AB;3,5;PANCASILA;2;7;
17.E1.0158;UKS103;40990154;AB;3,5;KEWARGANEGARAAN;2;7;
17.E1.0158;UKS410;40990183;AB;3,5;KULIAH KERJA NYATA;2;7;
16.E1.0027;PBK101;40124380;C;2;ENGLISH FOR PSYCHOLOGY 1;2;4;
16.E1.0027;PBK102;40124381;AB;3,5;PSIKOLOGI DASAR;4;14;
16.E1.0027;PBK103;40124382;BC;2,5;PSIKOLOGI KESEHATAN;2;5;
16.E1.0027;PBK104A;40144934;BC;2,5;PSIKOLOGI SOSIAL;3;7,5;
16.E1.0027;PBK105;40124384;A;4;PERKEMBANGAN MANUSIA;3;12;
16.E1.0027;PBK106;40124385;BC;2,5;BIOPSIKOLOGI;2;5;
16.E1.0027;PBK107;40124386;C;2;PSIKOLOGI KLINIS DASAR;2;4;
16.E1.0027;PBK201;40124387;B;3;ENGLISH FOR PSYCHOLOGY 2;2;6;
16.E1.0027;PBK202A;40144935;AB;3,5;TES PSIKOLOGI 1;3;10,5;
16.E1.0027;PBK202B;40144936;BC;2,5;TES PSIKOLOGI 2;3;7,5;
16.E1.0027;PBK203A;40144937;BC;2,5;PSIKOLOGI PENDIDIKAN;3;7,5;
16.E1.0027;PBK203B;40144938;C;2;PSIKOLOGI BELAJAR;2;4;
16.E1.0027;PBK204;40124390;BC;2,5;PENULISAN ILMIAH;2;5;
16.E1.0027;PBK205;40124391;AB;3,5;ETIKA PSIKOLOGI;2;7;
16.E1.0027;PBK206A;40155147;BC;2,5;ASESMEN;2;5;
16.E1.0027;PBK301;40124393;BC;2,5;EVALUASI PEMBELAJARAN;4;10;
16.E1.0027;PBK302;40124394;AB;3,5;DASAR KONSELING;4;14;
16.E1.0027;PBK303A;40144939;AB;3,5;TEORI MODIFIKASI PERILAKU;3;10,5;
16.E1.0027;PBK303B;40144940;B;3;MODIFIKASI PERILAKU TERAPAN;3;9;
16.E1.0027;PBK304A;40144941;BC;2,5;METODE PENGUMPULAN DATA KUANTITATIF;3;7,5;
16.E1.0027;PBK304B;40144942;B;3;METODE PENGUMPULAN DATA KUALITATIF;3;9;
16.E1.0027;PBK401A;40144943;B;3;PSIKOLOGI ANAK BERKEBUTUHAN KHUSUS 1;3;9;
16.E1.0027;PBK401B;40144944;BC;2,5;PSIKOLOGI ANAK BERKEBUTUHAN KHUSUS 2;3;7,5;
16.E1.0027;PBK402A;40144945;C;2;PSIKOLOGI ORANG SAKIT;2;4;
16.E1.0027;PBK402B;40144946;AB;3,5;PENDAMPINGAN ORANG SAKIT;3;10,5;
16.E1.0027;PBK403A;40144947;C;2;METODOLOGI PENELITIAN KUANTITATIF;4;8;
16.E1.0027;PBK403B;40144948;A;4;STATISTIKA;4;16;
16.E1.0027;PBK404;40134504;AB;3,5;METODOLOGI PENELITIAN KUALITATIF;2;7;
16.E1.0027;PBK501A;40144949;B;3;PSIKOLOGI ABNORMAL;3;9;
16.E1.0027;PBK501B;40144950;BC;2,5;DETEKSI DINI GANGGUAN PSIKOLOGIS;5;12,5;
16.E1.0027;PBK502A;40144951;BC;2,5;PSIKOLOGI KELOMPOK;2;5;
16.E1.0027;PBK502B;40144952;BC;2,5;DINAMIKA KELOMPOK;4;10;
16.E1.0027;PBK503A;40144953;BC;2,5;TEORI RANCANGAN PELATIHAN;2;5;
16.E1.0027;PBK503B;40144954;AB;3,5;PRAKTEK RANCANGAN PELATIHAN;4;14;
16.E1.0027;PBK601A;40144955;B;3;TEORI KEPRIBADIAN;3;9;
16.E1.0027;PBK601B;40144956;B;3;TEKNIK PENGEMBANGAN PRIBADI;4;12;
16.E1.0027;PBK602A;40144957;B;3;SEKSUALITAS MANUSIA;3;9;
16.E1.0027;PBK602B;40144958;BC;2,5;PSIKOLOGI KESEHATAN REPRODUKSI;2;5;
16.E1.0027;PBK603A;40144959;B;3;PSIKOLOGI PERDAMAIAN;2;6;
16.E1.0027;PBK603B;40144960;B;3;INTERVENSI TRAUMA;3;9;
16.E1.0027;PBK603C;40144961;B;3;TRANSFORMASI KONFLIK;3;9;
16.E1.0027;PBK701A;40144962;B;3;TEORI PEMBERDAYAAN MASYARAKAT;2;6;
16.E1.0027;PBK701B;40144963;AB;3,5;PEMBERDAYAAN MASYARAKAT;3;10,5;
16.E1.0027;PBK702A;40144964;B;3;TEORI DAN KONSEP SUMBER DAYA MANUSIA;3;9;
16.E1.0027;PBK702B;40144965;A;4;PRAKTEK PENGEMBANGAN SUMBER DAYA MANUSIA 1;2;8;
16.E1.0027;PBK702C;40144966;B;3;PRAKTEK PENGEMBANGAN SUMBER DAYA MANUSIA 2;3;9;
16.E1.0027;PBK703;40124408;BC;2,5;SKRIPSI;5;12,5;
16.E1.0027;UKS.101;40990197;AB;3,5;PENDIDIKAN AGAMA;2;7;
16.E1.0027;UKS.102;40032230;AB;3,5;PENDIDIKAN PANCASILA;2;7;
16.E1.0027;UKS103;40990154;AB;3,5;KEWARGANEGARAAN;2;7;
16.E1.0027;UKS410;40990183;A;4;KULIAH KERJA NYATA;2;8;
16.E1.0025;PBK101;40124380;C;2;ENGLISH FOR PSYCHOLOGY 1;2;4;
16.E1.0025;PBK102;40124381;B;3;PSIKOLOGI DASAR;4;12;
16.E1.0025;PBK103;40124382;B;3;PSIKOLOGI KESEHATAN;2;6;
16.E1.0025;PBK104A;40144934;B;3;PSIKOLOGI SOSIAL;3;9;
16.E1.0025;PBK105;40124384;BC;2,5;PERKEMBANGAN MANUSIA;3;7,5;
16.E1.0025;PBK106;40124385;BC;2,5;BIOPSIKOLOGI;2;5;
16.E1.0025;PBK107;40124386;BC;2,5;PSIKOLOGI KLINIS DASAR;2;5;
16.E1.0025;PBK201;40124387;B;3;ENGLISH FOR PSYCHOLOGY 2;2;6;
16.E1.0025;PBK202A;40144935;B;3;TES PSIKOLOGI 1;3;9;
16.E1.0025;PBK202B;40144936;BC;2,5;TES PSIKOLOGI 2;3;7,5;
16.E1.0025;PBK203A;40144937;B;3;PSIKOLOGI PENDIDIKAN;3;9;
16.E1.0025;PBK203B;40144938;BC;2,5;PSIKOLOGI BELAJAR;2;5;
16.E1.0025;PBK204;40124390;B;3;PENULISAN ILMIAH;2;6;
16.E1.0025;PBK205;40124391;AB;3,5;ETIKA PSIKOLOGI;2;7;
16.E1.0025;PBK206A;40155147;AB;3,5;ASESMEN;2;7;
16.E1.0025;PBK301;40124393;BC;2,5;EVALUASI PEMBELAJARAN;4;10;
16.E1.0025;PBK302;40124394;AB;3,5;DASAR KONSELING;4;14;
16.E1.0025;PBK303A;40144939;AB;3,5;TEORI MODIFIKASI PERILAKU;3;10,5;
16.E1.0025;PBK303B;40144940;B;3;MODIFIKASI PERILAKU TERAPAN;3;9;
16.E1.0025;PBK304A;40144941;B;3;METODE PENGUMPULAN DATA KUANTITATIF;3;9;
16.E1.0025;PBK304B;40144942;B;3;METODE PENGUMPULAN DATA KUALITATIF;3;9;
16.E1.0025;PBK401A;40144943;B;3;PSIKOLOGI ANAK BERKEBUTUHAN KHUSUS 1;3;9;
16.E1.0025;PBK401B;40144944;C;2;PSIKOLOGI ANAK BERKEBUTUHAN KHUSUS 2;3;6;
16.E1.0025;PBK402A;40144945;C;2;PSIKOLOGI ORANG SAKIT;2;4;
16.E1.0025;PBK402B;40144946;B;3;PENDAMPINGAN ORANG SAKIT;3;9;
16.E1.0025;PBK403A;40144947;C;2;METODOLOGI PENELITIAN KUANTITATIF;4;8;
16.E1.0025;PBK403B;40144948;A;4;STATISTIKA;4;16;
16.E1.0025;PBK404;40134504;AB;3,5;METODOLOGI PENELITIAN KUALITATIF;2;7;
16.E1.0025;PBK501A;40144949;B;3;PSIKOLOGI ABNORMAL;3;9;
16.E1.0025;PBK501B;40144950;AB;3,5;DETEKSI DINI GANGGUAN PSIKOLOGIS;5;17,5;
16.E1.0025;PBK502A;40144951;C;2;PSIKOLOGI KELOMPOK;2;4;
16.E1.0025;PBK502B;40144952;B;3;DINAMIKA KELOMPOK;4;12;
16.E1.0025;PBK503A;40144953;B;3;TEORI RANCANGAN PELATIHAN;2;6;
16.E1.0025;PBK503B;40144954;AB;3,5;PRAKTEK RANCANGAN PELATIHAN;4;14;
16.E1.0025;PBK601A;40144955;B;3;TEORI KEPRIBADIAN;3;9;
16.E1.0025;PBK601B;40144956;B;3;TEKNIK PENGEMBANGAN PRIBADI;4;12;
16.E1.0025;PBK602A;40144957;AB;3,5;SEKSUALITAS MANUSIA;3;10,5;
16.E1.0025;PBK602B;40144958;AB;3,5;PSIKOLOGI KESEHATAN REPRODUKSI;2;7;
16.E1.0025;PBK603A;40144959;B;3;PSIKOLOGI PERDAMAIAN;2;6;
16.E1.0025;PBK603B;40144960;B;3;INTERVENSI TRAUMA;3;9;
16.E1.0025;PBK603C;40144961;B;3;TRANSFORMASI KONFLIK;3;9;
16.E1.0025;PBK701A;40144962;AB;3,5;TEORI PEMBERDAYAAN MASYARAKAT;2;7;
16.E1.0025;PBK701B;40144963;AB;3,5;PEMBERDAYAAN MASYARAKAT;3;10,5;
16.E1.0025;PBK702A;40144964;B;3;TEORI DAN KONSEP SUMBER DAYA MANUSIA;3;9;
16.E1.0025;PBK702B;40144965;AB;3,5;PRAKTEK PENGEMBANGAN SUMBER DAYA MANUSIA 1;2;7;
16.E1.0025;PBK702C;40144966;B;3;PRAKTEK PENGEMBANGAN SUMBER DAYA MANUSIA 2;3;9;
16.E1.0025;PBK703;40124408;AB;3,5;SKRIPSI;5;17,5;
16.E1.0025;UKS.101;40990197;B;3;PENDIDIKAN AGAMA;2;6;
16.E1.0025;UKS.102;40032230;AB;3,5;PENDIDIKAN PANCASILA;2;7;
16.E1.0025;UKS103;40990154;A;4;KEWARGANEGARAAN;2;8;
16.E1.0025;UKS410;40990183;A;4;KULIAH KERJA NYATA;2;8;
16.E1.0186;PBK101;40124380;A;4;ENGLISH FOR PSYCHOLOGY 1;2;8;
16.E1.0186;PBK102;40124381;AB;3,5;PSIKOLOGI DASAR;4;14;
16.E1.0186;PBK103;40124382;B;3;PSIKOLOGI KESEHATAN;2;6;
16.E1.0186;PBK104A;40144934;B;3;PSIKOLOGI SOSIAL;3;9;
16.E1.0186;PBK105;40124384;B;3;PERKEMBANGAN MANUSIA;3;9;
16.E1.0186;PBK106;40124385;A;4;BIOPSIKOLOGI;2;8;
16.E1.0186;PBK107;40124386;A;4;PSIKOLOGI KLINIS DASAR;2;8;
16.E1.0186;PBK201;40124387;B;3;ENGLISH FOR PSYCHOLOGY 2;2;6;
16.E1.0186;PBK202A;40144935;A;4;TES PSIKOLOGI 1;3;12;
16.E1.0186;PBK202B;40144936;AB;3,5;TES PSIKOLOGI 2;3;10,5;
16.E1.0186;PBK203A;40144937;BC;2,5;PSIKOLOGI PENDIDIKAN;3;7,5;
16.E1.0186;PBK203B;40144938;AB;3,5;PSIKOLOGI BELAJAR;2;7;
16.E1.0186;PBK204;40124390;B;3;PENULISAN ILMIAH;2;6;
16.E1.0186;PBK205;40124391;B;3;ETIKA PSIKOLOGI;2;6;
16.E1.0186;PBK206A;40155147;B;3;ASESMEN;2;6;
16.E1.0186;PBK301;40124393;AB;3,5;EVALUASI PEMBELAJARAN;4;14;
16.E1.0186;PBK302;40124394;AB;3,5;DASAR KONSELING;4;14;
16.E1.0186;PBK303A;40144939;BC;2,5;TEORI MODIFIKASI PERILAKU;3;7,5;
16.E1.0186;PBK303B;40144940;B;3;MODIFIKASI PERILAKU TERAPAN;3;9;
16.E1.0186;PBK304A;40144941;AB;3,5;METODE PENGUMPULAN DATA KUANTITATIF;3;10,5;
