kode_matkul,nama_matkul,sks,id_kompetensi,kode_kurikulum
PBK302,DASAR KONSELING,4,9,2015
PBK303A,Teori modifikasi perilaku,3,9,2015
PBK401A,Psikologi Anak Berkebutuhan Khusus 1,3,9,2015
PBK402A,Psikologi orang sakit,2,9,2015
PBK303B,Modifikasi perilaku terapan,3,9,2015
PBK401B,Psikologi Anak Berkebutuhan Khusus 2,3,9,2015
PBK402B,Pendampingan orang sakit,3,9,2015
PBK501A,Psikologi abnormal,3,9,2015
PBK501B,Deteksi Dini Gangguan psikologis,5,9,2015
PBK601B,Teknik pengembangan pribadi,4,9,2015
PBK602A,Seksualitas manusia,3,9,2015
PBK602B,Psikologi kesehatan reproduksi,2,9,2015
PBK603B,Intervensi trauma,3,9,2015
PBK302,Dasar konseling,4,10,2015
PBK303A,Teori modifikasi perilaku,3,10,2015
PBK401A,Psikologi Anak Berkebutuhan Khusus 1,3,10,2015
PBK303B,Modifikasi perilaku terapan,3,10,2015
PBK401B,Psikologi Anak Berkebutuhan Khusus 2,3,10,2015
PBK501B,Deteksi dini gangguan psikologis,5,10,2015
PBK603B,Intervensi trauma,3,10,2015
PBK203A,Psikologi pendidikan,3,11,2015
PBK203B,Psikologi belajar,2,11,2015
PBK303A,Teori modifikasi perilaku,3,11,2015
PBK401A,Psikologi Anak Berkebutuhan Khusus 1,3,11,2015
PBK301,Evaluasi pembelajaran,4,11,2015
PBK303B,Modifikasi perilaku terapan,3,11,2015
PBK401B,Psikologi Anak Berkebutuhan Khusus 2,3,11,2015
PBK206A,Asesmen,2,11,2015
PBK501B,Deteksi dini gangguan psikologis,5,11,2015
PBK502A,Psikologi kelompok,2,11,2015
PBK502B,Dinamika kelompok,4,11,2015
PBK403B,Statistika,4,12,2015
PBK304A,METODE PENGUMPULAN DATA KUANTITATIF,3,12,2015
PBK204,Penulisan ilmiah,2,12,2015
PBK304B,METODE PENGUMPULAN DATA KUALITATIF,3,12,2015
PBK403A,Metodologi Penelitian Kuantitatif,4,12,2015
PBK404,Metodologi Penelitian Kualitatif,2,12,2015
PBK703,Skripsi,5,12,2015
PBK502A,Psikologi kelompok,2,13,2015
PBK601B,Teknik pengembangan pribadi,4,13,2015
PBK502B,Dinamika kelompok,4,13,2015
PBK503A,Teori rancangan pelatihan,2,13,2015
PBK503B,Praktek rancangan pelatihan,4,13,2015
PBK303A,Teori modifikasi perilaku,3,14,2015
PBK303B,Modifikasi perilaku terapan,3,14,2015
PBK702A,TEORI DAN KONSEP SUMBER DAYA MANUSIA,3,14,2015
PBK702B,Praktek pengembangan Sumber Daya Manusia 1,2,14,2015
PBK702C,Praktek pengembangan Sumber Daya Manusia 2,3,14,2015
PBK502A,Psikologi kelompok,2,15,2015
PBK603A,Psikologi perdamaian,2,15,2015
PBK502B,Dinamika kelompok,4,15,2015
PBK603C,Transformasi konflik,3,15,2015
PBK701A,Teori pemberdayaan masyarakat,2,15,2015
UKS410,KULIAH KERJA NYATA,2,15,2015
PBK701B,Pemberdayaan masyarakat,3,15,2015
